[388, 232;
 382, 238;
 381, 238;
 373, 246;
 373, 247;
 316, 304;
 316, 305;
 315, 306;
 315, 309;
 314, 310;
 314, 314;
 313, 315;
 313, 318;
 312, 319;
 312, 323;
 311, 324;
 311, 327;
 310, 328;
 310, 332;
 309, 333;
 309, 338;
 308, 339;
 308, 343;
 303, 348;
 302, 348;
 298, 352;
 297, 352;
 294, 355;
 293, 355;
 290, 358;
 289, 358;
 285, 362;
 284, 362;
 280, 366;
 279, 366;
 276, 369;
 275, 369;
 272, 372;
 271, 372;
 267, 376;
 266, 376;
 262, 380;
 261, 380;
 258, 383;
 257, 383;
 254, 386;
 253, 386;
 249, 390;
 248, 390;
 245, 393;
 244, 393;
 240, 397;
 239, 397;
 235, 401;
 234, 401;
 231, 404;
 230, 404;
 226, 408;
 225, 408;
 221, 412;
 220, 412;
 217, 415;
 216, 415;
 212, 419;
 211, 419;
 208, 422;
 207, 422;
 203, 426;
 202, 426;
 198, 430;
 197, 430;
 192, 435;
 191, 435;
 188, 438;
 187, 438;
 183, 442;
 182, 442;
 178, 446;
 177, 446;
 173, 450;
 172, 450;
 168, 454;
 167, 454;
 163, 458;
 161, 458;
 159, 456;
 159, 455;
 157, 453;
 157, 452;
 155, 450;
 155, 449;
 152, 446;
 152, 445;
 150, 443;
 150, 442;
 148, 440;
 148, 439;
 146, 437;
 146, 436;
 143, 433;
 143, 432;
 141, 430;
 141, 429;
 139, 427;
 139, 426;
 136, 423;
 136, 422;
 135, 421;
 135, 420;
 132, 417;
 132, 416;
 130, 414;
 130, 413;
 127, 410;
 127, 409;
 125, 407;
 125, 406;
 122, 403;
 122, 402;
 120, 400;
 120, 399;
 118, 397;
 118, 396;
 116, 394;
 116, 393;
 113, 390;
 113, 389;
 111, 387;
 111, 386;
 108, 383;
 108, 382;
 106, 380;
 106, 379;
 104, 377;
 104, 376;
 101, 373;
 101, 372;
 99, 370;
 99, 369;
 96, 366;
 96, 365;
 94, 363;
 94, 362;
 92, 360;
 92, 359;
 90, 357;
 90, 356;
 87, 353;
 87, 352;
 85, 350;
 85, 349;
 83, 347;
 83, 346;
 81, 344;
 81, 343;
 78, 340;
 78, 339;
 76, 337;
 76, 336;
 74, 334;
 74, 333;
 72, 331;
 72, 330;
 70, 328;
 70, 327;
 68, 325;
 68, 324;
 65, 321;
 65, 320;
 63, 318;
 63, 317;
 61, 315;
 61, 314;
 59, 312;
 59, 311;
 57, 309;
 57, 308;
 55, 306;
 55, 305;
 53, 303;
 53, 302;
 51, 300;
 51, 299;
 49, 297;
 49, 296;
 47, 294;
 47, 293;
 44, 290;
 44, 289;
 34, 279;
 34, 278;
 25, 269;
 25, 268;
 15, 258;
 15, 257;
 5, 247;
 5, 246;
 1, 242;
 1, 518;
 388, 518]
[167, 127;
 166, 128;
 151, 128;
 150, 129;
 147, 129;
 146, 130;
 144, 130;
 143, 131;
 142, 131;
 141, 132;
 139, 132;
 138, 133;
 136, 133;
 135, 134;
 134, 134;
 133, 135;
 131, 135;
 130, 136;
 129, 136;
 128, 137;
 127, 137;
 125, 139;
 124, 139;
 123, 140;
 122, 140;
 120, 142;
 119, 142;
 118, 143;
 117, 143;
 116, 144;
 115, 144;
 113, 146;
 112, 146;
 110, 148;
 109, 148;
 105, 152;
 104, 152;
 97, 159;
 97, 160;
 87, 170;
 87, 171;
 84, 174;
 84, 175;
 82, 177;
 82, 178;
 79, 181;
 79, 182;
 77, 184;
 77, 185;
 75, 187;
 75, 188;
 74, 189;
 74, 190;
 72, 192;
 72, 193;
 71, 194;
 71, 195;
 69, 197;
 69, 198;
 68, 199;
 68, 200;
 67, 201;
 67, 202;
 66, 203;
 66, 204;
 65, 205;
 65, 208;
 64, 209;
 64, 211;
 63, 212;
 63, 214;
 62, 215;
 62, 217;
 61, 218;
 61, 222;
 60, 223;
 60, 228;
 59, 229;
 59, 233;
 58, 234;
 58, 238;
 57, 239;
 57, 244;
 56, 245;
 56, 249;
 55, 250;
 55, 252;
 56, 251;
 56, 249;
 57, 248;
 57, 247;
 58, 246;
 59, 247;
 59, 248;
 60, 249;
 59, 250;
 59, 263;
 60, 264;
 60, 275;
 61, 276;
 61, 279;
 62, 280;
 62, 283;
 63, 284;
 63, 288;
 64, 289;
 64, 292;
 65, 293;
 65, 296;
 66, 297;
 66, 299;
 67, 300;
 67, 302;
 68, 303;
 68, 305;
 69, 306;
 69, 307;
 71, 309;
 71, 310;
 72, 311;
 72, 312;
 73, 313;
 73, 314;
 75, 316;
 75, 317;
 76, 318;
 76, 319;
 78, 321;
 78, 322;
 80, 324;
 80, 325;
 82, 327;
 82, 328;
 84, 330;
 84, 331;
 87, 334;
 87, 335;
 90, 338;
 90, 339;
 95, 344;
 95, 345;
 101, 351;
 101, 352;
 102, 353;
 103, 353;
 105, 355;
 106, 355;
 108, 357;
 109, 357;
 111, 359;
 112, 359;
 114, 361;
 115, 361;
 117, 363;
 118, 363;
 120, 365;
 121, 365;
 122, 366;
 123, 366;
 124, 367;
 125, 367;
 127, 369;
 128, 369;
 129, 370;
 130, 370;
 131, 371;
 132, 371;
 133, 372;
 134, 372;
 135, 373;
 136, 373;
 137, 374;
 139, 374;
 140, 375;
 141, 375;
 142, 376;
 145, 376;
 146, 377;
 149, 377;
 150, 378;
 153, 378;
 154, 379;
 158, 379;
 159, 380;
 163, 380;
 164, 381;
 168, 381;
 169, 382;
 174, 382;
 175, 383;
 178, 383;
 179, 384;
 183, 384;
 184, 385;
 189, 385;
 190, 386;
 194, 386;
 195, 387;
 205, 387;
 206, 386;
 214, 386;
 215, 385;
 220, 385;
 221, 384;
 224, 384;
 225, 383;
 228, 383;
 229, 382;
 232, 382;
 233, 381;
 235, 381;
 236, 380;
 238, 380;
 239, 379;
 240, 379;
 241, 378;
 243, 378;
 244, 377;
 245, 377;
 246, 376;
 247, 376;
 249, 374;
 250, 374;
 251, 373;
 252, 373;
 253, 372;
 254, 372;
 255, 371;
 256, 371;
 257, 370;
 258, 370;
 260, 368;
 261, 368;
 262, 367;
 263, 367;
 270, 360;
 271, 360;
 292, 339;
 292, 338;
 294, 336;
 294, 335;
 297, 332;
 297, 331;
 299, 329;
 299, 328;
 301, 326;
 301, 325;
 304, 322;
 304, 321;
 306, 319;
 306, 318;
 307, 317;
 307, 316;
 308, 315;
 308, 314;
 309, 313;
 309, 311;
 307, 313;
 306, 313;
 305, 312;
 305, 298;
 306, 297;
 306, 287;
 307, 286;
 307, 279;
 308, 278;
 308, 264;
 307, 263;
 307, 245;
 306, 244;
 306, 241;
 305, 240;
 305, 228;
 304, 227;
 304, 224;
 303, 223;
 303, 220;
 302, 219;
 302, 217;
 301, 216;
 301, 214;
 300, 213;
 300, 211;
 299, 210;
 299, 208;
 298, 207;
 298, 204;
 297, 203;
 297, 200;
 296, 199;
 296, 197;
 295, 196;
 295, 195;
 294, 194;
 294, 193;
 292, 191;
 292, 190;
 289, 187;
 289, 186;
 288, 185;
 288, 184;
 285, 181;
 285, 180;
 283, 178;
 283, 177;
 279, 173;
 279, 172;
 264, 157;
 263, 157;
 258, 152;
 257, 152;
 253, 148;
 252, 148;
 249, 145;
 248, 145;
 245, 142;
 244, 142;
 242, 140;
 241, 140;
 240, 139;
 239, 139;
 238, 138;
 237, 138;
 236, 137;
 234, 137;
 233, 136;
 232, 136;
 231, 135;
 230, 135;
 229, 134;
 228, 134;
 227, 133;
 226, 133;
 225, 132;
 224, 132;
 223, 131;
 221, 131;
 220, 130;
 217, 130;
 216, 129;
 213, 129;
 212, 128;
 208, 128;
 207, 127]
[344, 1;
 347, 4;
 347, 5;
 354, 12;
 354, 13;
 365, 24;
 365, 25;
 374, 34;
 374, 35;
 385, 46;
 385, 47;
 388, 50;
 388, 1]
[1, 1;
 1, 34;
 2, 34;
 4, 32;
 5, 32;
 9, 28;
 10, 28;
 13, 25;
 14, 25;
 18, 21;
 19, 21;
 24, 16;
 25, 16;
 31, 10;
 32, 10;
 39, 3;
 40, 3;
 42, 1]
